nir,green,swir16,swir22,coastal,blue,red,lwir11
10411.0,8569.5,8737.5,8111.0,,8360.0,8422.5,
,,,,,,,
13959.0,9926.0,15156.5,12552.5,,9139.0,11096.0,
13871.0,9154.0,11520.0,9420.0,,8707.0,9119.0,
16870.5,9753.0,13408.0,10257.0,,8693.0,9553.5,
13535.0,8387.0,10165.0,8604.0,,8061.0,8402.0,
27103.0,24425.5,25351.0,21840.5,,65535.0,65535.0,
19310.5,9597.0,12954.5,9447.5,,8535.0,8963.5,
11613.0,12114.0,8402.0,7982.0,,10960.0,12663.0,
12333.0,9060.0,9264.5,8181.0,,8456.5,9407.5,
25037.5,19133.5,22864.5,19121.5,,17701.0,19154.5,
,,,,,,,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
9089.5,9167.0,7963.0,7740.0,,8719.0,8961.0,
11190.0,11426.0,7687.5,7645.0,,9557.0,12802.0,
17658.5,9550.0,13746.5,10574.0,,8691.0,9241.5,
9089.5,9167.0,7963.0,7740.0,,8719.0,8961.0,
7814.0,5189.5,6664.0,5222.0,,4984.0,5122.0,
15543.0,10647.0,11919.5,9642.5,,9921.0,10524.0,
17894.5,9281.0,13078.0,9695.0,,8437.0,8994.5,
12128.5,9803.5,9325.0,8486.0,,8857.5,9811.5,
15215.0,9791.0,13390.0,11085.5,,8892.0,9761.0,
65535.0,65535.0,65535.0,24102.5,,65535.0,65535.0,
14137.5,10466.5,10315.5,8536.0,,10039.0,9985.0,
13457.5,10530.5,11847.5,10169.5,,9701.0,10935.0,
13934.0,9899.5,12111.5,10196.5,,8853.0,9807.0,
13724.0,9691.0,13005.5,10754.5,,8743.0,9947.0,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
14954.0,9636.0,14753.0,11537.5,,8561.0,9929.5,
13400.0,10548.0,7764.0,7659.0,,9235.5,11938.0,
14599.0,12046.5,12067.0,11038.5,,10832.0,13063.0,
14599.0,12046.5,12067.0,11038.5,,10832.0,13063.0,
13930.0,11594.0,8610.0,8471.0,,9784.5,12548.0,
18631.5,11771.5,16495.0,12815.0,,10629.0,11898.0,
27103.0,24425.5,25351.0,21840.5,,65535.0,65535.0,
9089.5,9167.0,7963.0,7740.0,,8719.0,8961.0,
16538.0,10027.0,14809.0,11414.5,,9021.5,9845.5,
16828.5,9502.5,12665.5,9643.0,,8718.0,9290.0,
14514.0,9326.0,12189.5,9706.0,,8452.5,9431.0,
12433.5,10433.5,9579.5,8531.5,,9344.0,10728.5,
6219.0,4774.0,5600.5,4803.0,,4315.5,4762.0,
13683.0,10207.0,14011.5,11850.5,,9414.0,10262.5,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
17012.5,9767.5,12108.0,9335.0,,8658.0,9470.0,
,,,,,,,
17653.0,13104.0,19330.0,16984.0,,10579.0,14613.0,
13959.0,9926.0,15156.5,12552.5,,9139.0,11096.0,
10218.0,11040.0,7946.5,7735.0,,9671.5,11496.0,
12333.0,9060.0,9264.5,8181.0,,8456.5,9407.5,
16130.5,10090.0,12881.5,10114.0,,9364.0,10316.5,
16227.0,9491.0,12407.5,9783.0,,8787.0,9408.0,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
11724.0,10468.0,7895.0,7622.0,,9170.0,11413.0,
15132.5,10835.0,13586.0,11169.0,,9795.0,10773.5,
11058.0,8314.0,11065.0,9696.0,,8114.0,8461.0,
17079.0,9554.0,16078.0,12122.0,,8600.5,9893.0,
15218.5,10334.0,14735.0,12208.5,,9227.5,10903.5,
13934.0,9899.5,12111.5,10196.5,,8853.0,9807.0,
14001.0,10765.0,12520.0,10583.0,,9396.0,11157.5,
16337.5,9854.5,14979.0,11663.0,,8688.0,10059.0,
11190.0,11426.0,7687.5,7645.0,,9557.0,12802.0,
17450.5,9779.5,15439.5,11534.0,,8637.0,9515.0,
18297.5,9742.0,14971.5,11426.5,,8734.5,9613.0,
16353.5,9826.0,13066.0,9873.0,,8721.0,9322.0,
17658.5,9550.0,13746.5,10574.0,,8691.0,9241.5,
15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,
13270.5,10832.0,8639.0,8236.5,,9460.5,12381.0,
14137.5,10466.5,10315.5,8536.0,,10039.0,9985.0,
15543.0,10647.0,11919.5,9642.5,,9921.0,10524.0,
,,,,,,,
12128.5,9803.5,9325.0,8486.0,,8857.5,9811.5,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
14887.0,10943.0,13522.0,11403.0,,9693.5,11237.5,
15215.0,9791.0,13390.0,11085.5,,8892.0,9761.0,
26460.0,21225.5,25627.0,21207.5,,20043.5,20896.5,
12459.0,9364.0,10858.5,9286.0,,8678.5,9503.5,
15820.0,10665.5,16377.5,13975.0,,9572.0,11320.5,
13162.5,9546.5,12786.0,10889.0,,8765.0,9965.0,
17937.5,11044.5,18143.5,14152.5,,9490.5,11540.5,
15197.0,11174.5,13821.0,10911.5,,9637.5,11519.0,
,,,,,,,
18414.0,9536.5,12840.5,9820.0,,8635.0,9145.0,
18288.0,10584.0,14144.0,10522.5,,9372.5,10114.0,
18186.0,9598.0,12332.5,9609.0,,8788.0,9220.5,
12333.0,9060.0,9264.5,8181.0,,8456.5,9407.5,
14954.0,9636.0,14753.0,11537.5,,8561.0,9929.5,
17418.5,9908.0,13987.0,10115.0,,8882.5,9503.5,
13890.0,10218.5,11482.5,10112.5,,9233.5,10825.0,
16052.5,10362.5,15176.0,12502.0,,9238.0,10989.5,
15187.0,11456.5,14527.0,12799.0,,9873.5,12122.5,
13185.0,9112.0,13904.5,11277.0,,8655.0,9276.5,
13724.0,9691.0,13005.5,10754.5,,8743.0,9947.0,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
14941.5,9728.5,12916.5,10418.5,,8972.5,10022.0,
16341.0,9617.5,14596.0,11104.5,,8828.0,9589.5,
18631.5,11771.5,16495.0,12815.0,,10629.0,11898.0,
17658.5,9550.0,13746.5,10574.0,,8691.0,9241.5,
9089.5,9167.0,7963.0,7740.0,,8719.0,8961.0,
15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,
12433.5,10433.5,9579.5,8531.5,,9344.0,10728.5,
6219.0,4774.0,5600.5,4803.0,,4315.5,4762.0,
13683.0,10207.0,14011.5,11850.5,,9414.0,10262.5,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
15215.0,9791.0,13390.0,11085.5,,8892.0,9761.0,
13785.0,9684.0,14045.5,11787.0,,8793.5,10313.5,
16870.5,9753.0,13408.0,10257.0,,8693.0,9553.5,
14678.0,9601.0,12867.0,10208.0,,8605.5,9465.5,
13912.0,8344.0,10705.0,8910.0,,8010.0,8314.0,
13592.0,9984.5,12780.5,11205.5,,9221.0,10197.0,
12541.0,8374.0,10907.0,9166.0,,7496.0,8834.0,
13724.0,9691.0,13005.5,10754.5,,8743.0,9947.0,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
11481.0,11597.0,8583.0,8196.5,,10130.0,11926.0,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
14887.0,10943.0,13522.0,11403.0,,9693.5,11237.5,
16828.5,9502.5,12665.5,9643.0,,8718.0,9290.0,
14549.0,9048.0,10812.0,9109.0,,8619.0,8880.0,
,,,,,,,
12384.0,10024.0,10676.5,9671.0,,9302.0,10242.0,
10217.0,7908.0,8559.0,7800.0,,7722.0,7811.0,
11093.0,9954.0,7819.0,7634.0,,8810.5,10761.0,
14141.5,10077.0,12302.0,10587.0,,8957.0,10727.5,
12158.0,9792.0,7909.0,7766.0,,8703.5,10786.0,
13248.0,11215.5,10636.5,9105.5,,9908.0,12120.5,
,,,,,,,
11190.0,11426.0,7687.5,7645.0,,9557.0,12802.0,
14153.5,9892.0,11233.5,9200.0,,9077.0,10332.0,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
14887.0,10943.0,13522.0,11403.0,,9693.5,11237.5,
15215.0,9791.0,13390.0,11085.5,,8892.0,9761.0,
17937.5,11044.5,18143.5,14152.5,,9490.5,11540.5,
16074.5,10710.0,14745.5,11901.0,,9771.5,10908.0,
8205.5,4870.0,6161.0,4771.0,,4567.0,4649.5,
12113.5,9611.0,11318.5,9288.0,,8687.0,10183.5,
14293.5,9537.0,13638.0,11155.5,,8681.0,9723.0,
12333.0,9060.0,9264.5,8181.0,,8456.5,9407.5,
14954.0,9636.0,14753.0,11537.5,,8561.0,9929.5,
11093.0,9954.0,7819.0,7634.0,,8810.5,10761.0,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
,,,,,,,
19619.0,9449.0,13890.0,10042.0,,8558.0,8850.0,
12433.5,10433.5,9579.5,8531.5,,9344.0,10728.5,
12113.5,9611.0,11318.5,9288.0,,8687.0,10183.5,
13683.0,10207.0,14011.5,11850.5,,9414.0,10262.5,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
15184.0,10818.0,13762.0,11133.0,,9611.5,11403.0,
,,,,,,,
12488.0,11835.5,8894.0,8335.0,,9782.5,13003.0,
13959.0,9926.0,15156.5,12552.5,,9139.0,11096.0,
16142.0,10433.5,14017.0,11026.5,,9943.5,10317.0,
29764.0,65535.0,46934.0,26873.5,,65535.0,65535.0,
14093.0,9642.0,12521.0,10400.0,,8837.5,9469.5,
,,,,,,,
15627.0,9168.0,13115.5,10091.5,,8344.0,9024.0,
8205.5,4870.0,6161.0,4771.0,,4567.0,4649.5,
10218.0,11040.0,7946.5,7735.0,,9671.5,11496.0,
12333.0,9060.0,9264.5,8181.0,,8456.5,9407.5,
14954.0,9636.0,14753.0,11537.5,,8561.0,9929.5,
17418.5,9908.0,13987.0,10115.0,,8882.5,9503.5,
14198.0,8931.0,11670.0,9620.0,,8267.0,9143.0,
14007.5,9248.0,12553.5,9979.0,,8398.5,9399.5,
17023.0,9417.0,13069.5,10005.5,,8679.0,9031.5,
12459.0,9364.0,10858.5,9286.0,,8678.5,9503.5,
10864.0,8959.0,12654.0,11808.5,,8637.5,9581.5,
,,,,,,,
16072.0,9046.5,12058.0,9321.5,,8349.5,8746.5,
15627.0,9168.0,13115.5,10091.5,,8344.0,9024.0,
13890.0,10218.5,11482.5,10112.5,,9233.5,10825.0,
16052.5,10362.5,15176.0,12502.0,,9238.0,10989.5,
14001.0,10765.0,12520.0,10583.0,,9396.0,11157.5,
12658.5,9619.0,12444.0,10599.0,,8889.5,9839.0,
10891.0,9266.0,9450.0,8610.5,,8782.5,9500.0,
17079.0,9554.0,16078.0,12122.0,,8600.5,9893.0,
11190.0,11426.0,7687.5,7645.0,,9557.0,12802.0,
11697.5,9026.0,8968.0,8125.5,,8477.5,8925.0,
,,,,,,,
14730.0,9609.5,12273.0,9853.0,,8589.0,9651.0,
15196.0,9383.0,13914.5,10984.0,,8329.0,9353.0,
11090.5,10642.0,8503.5,8271.5,,9924.5,10546.5,
15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,
7814.0,5189.5,6664.0,5222.0,,4984.0,5122.0,
14137.5,10466.5,10315.5,8536.0,,10039.0,9985.0,
15543.0,10647.0,11919.5,9642.5,,9921.0,10524.0,
15835.0,10638.5,15640.5,12874.0,,9906.5,11078.5,
,,,,,,,
,,,,,,,
13000.5,8771.0,9814.5,8624.0,,8168.0,8871.0,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
17937.5,11044.5,18143.5,14152.5,,9490.5,11540.5,
14726.5,9833.5,14166.0,11023.5,,9204.0,9767.0,
15623.5,8965.5,12325.0,9749.0,,8305.0,8829.5,
15234.5,9761.0,14276.0,11311.5,,8675.0,9971.5,
14265.0,9582.5,14182.0,11071.5,,8695.0,9354.5,
12333.0,9060.0,9264.5,8181.0,,8456.5,9407.5,
11058.0,8314.0,11065.0,9696.0,,8114.0,8461.0,
,,,,,,,
13724.0,9691.0,13005.5,10754.5,,8743.0,9947.0,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
13185.0,9112.0,13904.5,11277.0,,8655.0,9276.5,
16370.0,9330.0,12834.0,10197.0,,8613.5,9192.0,
10218.0,11040.0,7946.5,7735.0,,9671.5,11496.0,
12433.5,10433.5,9579.5,8531.5,,9344.0,10728.5,
,,,,,,,
15196.0,9383.0,13914.5,10984.0,,8329.0,9353.0,
15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
,,,,,,,
12492.0,8910.0,12045.0,9928.0,,8491.5,9170.5,
12373.0,10239.5,11787.0,9931.0,,9076.5,10977.5,
13939.5,9109.0,12721.5,10296.5,,8369.5,8975.0,
23429.5,18311.5,20776.5,18325.5,,17383.5,18581.0,
8205.5,4870.0,6161.0,4771.0,,4567.0,4649.5,
17418.5,9908.0,13987.0,10115.0,,8882.5,9503.5,
,,,,,,,
14349.0,10717.0,14116.0,12729.0,,9519.5,11778.5,
13959.0,9926.0,15156.5,12552.5,,9139.0,11096.0,
16142.0,10433.5,14017.0,11026.5,,9943.5,10317.0,
14409.0,9184.0,13498.0,10596.0,,8310.0,9473.5,
14954.0,9636.0,14753.0,11537.5,,8561.0,9929.5,
14722.5,9986.5,16432.0,13532.0,,9361.0,10808.5,
13724.0,9691.0,13005.5,10754.5,,8743.0,9947.0,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
15023.0,10187.5,11689.0,9991.0,,8967.0,10918.0,
10775.0,9349.0,7749.0,7572.0,,8557.5,10233.5,
11039.0,11381.0,7692.0,7670.0,,9675.5,12828.5,
14941.5,9728.5,12916.5,10418.5,,8972.5,10022.0,
10166.0,9681.5,7963.5,7751.0,,8831.5,9661.5,
16378.5,9838.0,16067.5,12148.0,,9066.0,9735.5,
14713.5,9975.5,11886.0,9562.0,,9157.0,9964.0,
14027.0,10009.5,11192.5,9530.0,,9037.0,10023.0,
,,,,,,,
13683.0,10207.0,14011.5,11850.5,,9414.0,10262.5,
14445.0,9659.0,13559.0,11205.5,,8969.0,9878.0,
,,,,,,,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
,,,,,,,
17937.5,11044.5,18143.5,14152.5,,9490.5,11540.5,
13912.0,8344.0,10705.0,8910.0,,8010.0,8314.0,
16783.0,9689.0,13230.5,10242.0,,8937.5,9545.0,
16776.5,9174.0,12841.0,9778.0,,8336.0,8944.0,
21105.5,17309.5,20771.0,18009.5,,15993.5,17511.0,
17615.0,9074.5,12972.5,9867.0,,8333.0,8811.0,
14265.0,9582.5,14182.0,11071.5,,8695.0,9354.5,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
14198.0,8931.0,11670.0,9620.0,,8267.0,9143.0,
14007.5,9248.0,12553.5,9979.0,,8398.5,9399.5,
13527.5,9353.5,13801.5,11192.0,,8803.0,9768.0,
14845.0,10758.5,17859.0,14390.0,,9755.0,11717.0,
13724.0,9691.0,13005.5,10754.5,,8743.0,9947.0,
11490.5,9969.5,10372.5,9135.0,,8893.0,10129.0,
10975.0,9370.0,7656.0,7473.0,,8602.0,10303.0,
,,,,,,,
14038.0,8788.0,10872.0,8941.0,,8226.0,8647.0,
12541.0,8374.0,10907.0,9166.0,,7496.0,8834.0,
,,,,,,,
21839.0,17475.5,21841.0,18885.5,,16431.5,17905.0,
,,,,,,,
10792.0,8809.5,9322.0,8874.0,,8580.5,8688.5,
16461.0,11261.0,17383.0,14155.5,,9753.0,11930.0,
14153.5,9892.0,11233.5,9200.0,,9077.0,10332.0,
13457.5,10530.5,11847.5,10169.5,,9701.0,10935.0,
14349.5,9817.0,14086.5,11992.0,,8954.5,10362.0,
16482.5,9100.5,12845.0,9884.0,,8361.5,8897.5,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
13959.0,9926.0,15156.5,12552.5,,9139.0,11096.0,
16142.0,10433.5,14017.0,11026.5,,9943.5,10317.0,
16074.5,10710.0,14745.5,11901.0,,9771.5,10908.0,
15829.0,10102.0,14308.0,11446.5,,9354.0,10532.5,
15623.5,10112.5,14213.5,11108.5,,9385.5,9987.5,
16681.0,9172.5,13267.0,9930.0,,8208.5,9009.5,
16731.0,12347.5,17328.0,14381.0,,11456.0,12886.0,
14828.0,9448.0,14993.5,11491.0,,8544.0,9786.0,
14587.5,9112.0,12868.5,9869.0,,8137.0,9245.0,
14265.0,9582.5,14182.0,11071.5,,8695.0,9354.5,
12803.0,9706.0,12143.0,10271.0,,8994.0,10014.0,
14293.5,9537.0,13638.0,11155.5,,8681.0,9723.0,
16681.0,9172.5,13267.0,9930.0,,8208.5,9009.5,
22484.5,20449.0,22866.0,20270.0,,19341.0,20659.0,
10907.0,11257.0,7549.0,7569.0,,9755.0,12668.0,
10515.0,9753.0,8602.0,8270.0,,9012.5,9683.0,
15785.5,9162.5,12444.0,9567.0,,8428.5,9015.5,
17284.0,9052.5,12732.0,9613.0,,8092.5,8783.5,
15610.0,9322.0,13025.0,10234.0,,8251.0,9285.0,
16295.5,11354.0,17473.0,14077.0,,10121.0,11469.0,
10218.0,11040.0,7946.5,7735.0,,9671.5,11496.0,
15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,
11178.0,10445.5,7803.0,7454.0,,9021.5,11559.0,
,,,,,,,
15404.0,9631.0,12925.5,10168.0,,8861.0,9448.0,
15160.5,9057.5,12495.0,9793.0,,8300.0,8873.0,
12433.5,10433.5,9579.5,8531.5,,9344.0,10728.5,
16378.5,9838.0,16067.5,12148.0,,9066.0,9735.5,
14713.5,9975.5,11886.0,9562.0,,9157.0,9964.0,
14027.0,10009.5,11192.5,9530.0,,9037.0,10023.0,
15835.0,10638.5,15640.5,12874.0,,9906.5,11078.5,
9971.0,8846.5,9294.0,8292.0,,8809.0,8605.0,
13544.0,9386.5,11493.5,9495.0,,8654.0,9402.5,
16685.5,9427.0,12127.0,9348.0,,8429.0,9127.5,
15412.5,9256.5,13097.5,10029.5,,8355.0,8963.5,
22521.5,18997.0,23295.5,20571.0,,17745.5,19083.0,
30281.0,27432.0,31371.0,27846.5,,65535.0,27800.5,
13683.0,10207.0,14011.5,11850.5,,9414.0,10262.5,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
,,,,,,,
16575.5,10072.0,15700.5,11484.5,,8918.0,10007.0,
14121.0,9550.0,12990.0,10568.5,,8648.5,10029.5,
14604.5,9795.0,11395.0,9288.0,,8840.5,10022.5,
17937.5,11044.5,18143.5,14152.5,,9490.5,11540.5,
13560.0,10076.0,16388.0,13014.0,,9017.0,11586.5,
16685.5,9427.0,12127.0,9348.0,,8429.0,9127.5,
14941.5,8499.0,11364.5,8881.5,,7944.0,8243.0,
17368.5,9289.5,13978.5,10313.5,,8470.0,9160.5,
8205.5,4870.0,6161.0,4771.0,,4567.0,4649.5,
17418.5,9908.0,13987.0,10115.0,,8882.5,9503.5,
17769.5,13540.0,17908.0,16068.5,,12692.0,14145.0,
27145.0,21978.5,25473.5,22749.0,,21233.5,23205.5,
13185.0,9112.0,13904.5,11277.0,,8655.0,9276.5,
18431.5,17426.5,18149.5,15969.0,,16900.0,17499.0,
22484.5,20449.0,22866.0,20270.0,,19341.0,20659.0,
17540.0,12458.0,17372.0,14796.5,,11304.5,12533.0,
10176.0,10319.0,7840.0,7728.0,,9150.0,11093.0,
14442.0,9639.0,14379.0,11192.0,,8748.0,9673.0,
13683.5,9529.0,12102.5,9830.5,,8783.0,9285.5,
11058.0,8314.0,11065.0,9696.0,,8114.0,8461.0,
17095.0,9367.5,14196.5,10527.0,,8464.5,9059.0,
14941.5,9728.5,12916.5,10418.5,,8972.5,10022.0,
,,,,,,,
17079.0,9554.0,16078.0,12122.0,,8600.5,9893.0,
15273.0,9616.0,10652.0,8631.0,,8494.0,9524.0,
30281.0,27432.0,31371.0,27846.5,,65535.0,27800.5,
14468.0,10168.0,17848.0,14897.0,,9328.0,10602.0,
13348.0,9663.0,16652.0,13445.0,,8741.0,10235.0,
15404.0,9631.0,12925.5,10168.0,,8861.0,9448.0,
,,,,,,,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
,,,,,,,
9641.5,8975.5,7261.5,7447.0,,8360.0,9173.0,
17908.0,9208.0,12723.0,9488.0,,8461.0,8734.0,
17418.5,9908.0,13987.0,10115.0,,8882.5,9503.5,
13683.5,9529.0,12102.5,9830.5,,8783.0,9285.5,
16636.5,14911.5,18338.0,17789.0,,13639.0,16140.0,
16295.5,11354.0,17473.0,14077.0,,10121.0,11469.0,
10218.0,11040.0,7946.5,7735.0,,9671.5,11496.0,
15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,
12433.5,10433.5,9579.5,8531.5,,9344.0,10728.5,
16378.5,9838.0,16067.5,12148.0,,9066.0,9735.5,
14713.5,9975.5,11886.0,9562.0,,9157.0,9964.0,
14027.0,10009.5,11192.5,9530.0,,9037.0,10023.0,
22521.5,18997.0,23295.5,20571.0,,17745.5,19083.0,
13683.0,10207.0,14011.5,11850.5,,9414.0,10262.5,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
17937.5,11044.5,18143.5,14152.5,,9490.5,11540.5,
13912.0,8344.0,10705.0,8910.0,,8010.0,8314.0,
12887.0,10271.5,12497.5,10760.5,,9411.5,10763.0,
13614.0,9271.0,14769.0,11723.0,,8669.5,9652.0,
14265.0,9582.5,14182.0,11071.5,,8695.0,9354.5,
13319.0,8634.0,9599.0,8684.0,,7991.0,8420.0,
,,,,,,,
6705.0,4524.5,5967.0,4930.0,,4153.5,4559.0,
15210.0,10720.0,17974.0,14201.0,,9502.5,12540.0,
11802.5,9944.5,12962.0,11303.5,,9216.0,10356.0,
13959.0,9926.0,15156.5,12552.5,,9139.0,11096.0,
13560.0,10076.0,16388.0,13014.0,,9017.0,11586.5,
16142.0,10433.5,14017.0,11026.5,,9943.5,10317.0,
9971.0,8846.5,9294.0,8292.0,,8809.0,8605.0,
,,,,,,,
30281.0,27432.0,31371.0,27846.5,,65535.0,27800.5,
15404.0,9631.0,12925.5,10168.0,,8861.0,9448.0,
13178.5,8992.5,12471.5,10195.0,,8546.5,9000.0,
,,,,,,,
17798.0,11259.0,18413.0,14018.0,,9916.0,11807.0,
15515.5,10247.0,12823.0,10403.5,,9253.5,10126.0,
18431.5,17426.5,18149.5,15969.0,,16900.0,17499.0,
22484.5,20449.0,22866.0,20270.0,,19341.0,20659.0,
8205.5,4870.0,6161.0,4771.0,,4567.0,4649.5,
10218.0,11040.0,7946.5,7735.0,,9671.5,11496.0,
16636.5,14911.5,18338.0,17789.0,,13639.0,16140.0,
